split,subject,protocol,tau,gated,coverage,selective_risk,n_windows
cross-session/s01/d03_t02,s01,cross-session,0.9,True,0.7120676968359088,0.021700940374082878,13590
cross-session/s01/d03_t02,s01,cross-session,0.95,True,0.595364238410596,0.012483005808923496,13590
cross-session/s01/d03_t02,s01,cross-session,0.99,True,0.34415011037527593,0.006414368184733804,13590
cross-session/s01/d04_t01,s01,cross-session,0.5,False,1.0,0.07411621908663328,13182
cross-session/s01/d04_t01,s01,cross-session,0.55,True,0.9750417235624336,0.06473196919007236,13182
cross-session/s01/d04_t01,s01,cross-session,0.6,True,0.9519041116674253,0.05602486452024227,13182
cross-session/s01/d04_t01,s01,cross-session,0.65,True,0.9260355029585798,0.04816908331285328,13182
cross-session/s01/d04_t01,s01,cross-session,0.7,True,0.8990289789106357,0.041009197536072906,13182
cross-session/s01/d04_t01,s01,cross-session,0.75,True,0.8651949628280989,0.033318719859710653,13182
cross-session/s01/d04_t01,s01,cross-session,0.8,True,0.8236989834622971,0.027353103702339288,13182
cross-session/s01/d04_t01,s01,cross-session,0.85,True,0.7746169018358368,0.02125159142101655,13182
cross-session/s01/d04_t01,s01,cross-session,0.9,True,0.7012592929752693,0.014820424058848983,13182
cross-session/s01/d04_t01,s01,cross-session,0.95,True,0.5782127143073889,0.008527945421149305,13182
cross-session/s01/d04_t01,s01,cross-session,0.99,True,0.3067819754210287,0.002967359050445104,13182
cross-session/s01/d04_t02,s01,cross-session,0.5,False,1.0,0.1346340734095836,13377
cross-session/s01/d04_t02,s01,cross-session,0.55,True,0.9621738805412274,0.12291197265169762,13377
cross-session/s01/d04_t02,s01,cross-session,0.6,True,0.9238244748448831,0.11207315099530668,13377
cross-session/s01/d04_t02,s01,cross-session,0.65,True,0.8838304552590267,0.10065127294256956,13377
cross-session/s01/d04_t02,s01,cross-session,0.7,True,0.8389773491814309,0.08892452998307047,13377
cross-session/s01/d04_t02,s01,cross-session,0.75,True,0.7903117290872393,0.07879303821415058,13377
cross-session/s01/d04_t02,s01,cross-session,0.8,True,0.7345443671974284,0.06757581925503765,13377
cross-session/s01/d04_t02,s01,cross-session,0.85,True,0.6680870150257905,0.05661855208683003,13377
cross-session/s01/d04_t02,s01,cross-session,0.9,True,0.5818942961800104,0.04380781089414183,13377
cross-session/s01/d04_t02,s01,cross-session,0.95,True,0.445765119234507,0.02767063558611437,13377
cross-session/s01/d04_t02,s01,cross-session,0.99,True,0.1923450698960903,0.013214146910221531,13377
cross-session/s01/d05_t01,s01,cross-session,0.5,False,1.0,0.1074873003018479,13583
cross-session/s01/d05_t01,s01,cross-session,0.55,True,0.9697415887506442,0.0961888855147282,13583
cross-session/s01/d05_t01,s01,cross-session,0.6,True,0.9413237134653611,0.08689191302987642,13583
cross-session/s01/d05_t01,s01,cross-session,0.65,True,0.9107708164617536,0.0768733327944386,13583
cross-session/s01/d05_t01,s01,cross-session,0.7,True,0.8742545829345505,0.06501052631578948,13583
